SL No.,Ayurveda Term,Sentence where it appears,Classification
1177,Pitta,"Importance of Virechana in Pitta imbalance – 
श्लेष्मविकारांश्च विंशततमत ऊध्िं व्याख्यास्यामः; तयथा- तृतप्तश्च, तवरा च, तनरागधक्तयं 
च, स्तैसमत्यं च, गुरुगात्रता च, आलस्यं च, मुिमाधुयं च, मुिस्रािश्च, श्लेष्मोहद्गरणं च, 
मलस्यागधक्तयं च, बलासकश्च, अपडक्तश्च, हृदयोपलेपश्च, कण्ठोपलेपश्च, 
धमनीप्रतत
(
वि
)
चयश्च
, गलगण्डश्च, अततस्थौल्यं च, शीतान्ननता च, उददघश्च, श्वेतािभासता 
च, श्वेतमूत्रनेत्रिचघस्त्िं च; इतत विंशततः श्लेष्मविकाराः 
श्लेष्मविकाराणामपररसङ्ख्येयानामाविष्कृततमा व्याख्याता भिन्वत||१७|| 
śleṣmavikārāṃśca viṃśatimata ūrdhvaṃ vyākhyāsyāmaḥ; tadyathā- 
tṛptiśca, tandrā ca, nidrādhikyaṃ ca, staimityaṃ ca, gurugātratā ca, 
ālasyaṃ ca, mukhamādhuryaṃ ca, mukhasrāvaśca, śleṣmodgiraṇaṃ ca, 
malasyādhikyaṃ ca, balāsakaśca, apaktiśca, hṛdayopalepaśca, 
kaṇṭhopalepaśca, dhamanīprati(vi)cayaśca, galagaṇḍaśca, atisthaulyaṃ ca, 
śītāgnitā ca, udardaśca, śvetāvabhāsatā ca, śvetamūtranetravarcastvaṃ ca; Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 775 
 
iti viṃśatiḥ śleṣmavikārāḥ 
śleṣmavikārāṇāmaparisaṅkhyeyānāmāviṣkṛtatamā vyākhyātā 
bhavanti||17|| 
Importance of Virechana in Pitta imbalance – 
Of all the devices stated above, the purgation is the treatment par 
excellence for curing the Paittika diseases because, immediately after it is 
administered, it eliminates the vitiated Pitta from its very root from the 
level of intestines.",Symptom
1178,Pitta,"When it is overcome in the Amasaya (small intestine), it 
alleviates the entire vitiated Pitta dwelling in other parts of the body.",Symptom
1179,Kapha,"This 
can be likened to a hot chamber being cooled by removing the fire from 
inside it.[16] 
Twenty types of kaphaja diseases – Kaphaja Nanatmaja Vikara 
सिेष्िवप िल्िेतेिु श्लेष्मविकारेिूक्तेष्िवयेिु चानुक्तेिु श्लेष्मण इदमात्मरूपमपररणासम 
कमघणश्च स्िलिणं यदुपलभय तदियिं िा विमुक्तसवदेहाः श्लेष्मविकारमेिाध्यिस्यन्वत 
कुशलाः; तयथा- स्नेहशैत्यशौक्तल्यगौरिमाधुयघस्थैयघपैन्च्छल्यमात्स्वयाघतन श्लेष्मण 
आत्मरूपाखण; एिंविधत्िाच्च श्लेष्मणः कमघणः स्िलिणसमदमस्य भितत तं तं 
शरीराियिमाविशतः; तयथा- 
श्वैत्यशैत्यकण्डूस्थैयघगौरिस्नेहसुतप्तक्तलेदोपदेहबवधमाधुयघगचरकाररत्िातन श्लेष्मणः 
कमाघखण; तैरन्वितं श्लेष्मविकारमेिाध्यिस्येत्||१८|| 
sarveṣvapi khalveteṣu śleṣmavikāreṣūkteṣvanyeṣu cānukteṣu śleṣmaṇa 
idamātmarūpamapariṇāmi karmaṇaśca svalakṣaṇaṃ yadupalabhya 
tadavayavaṃ vā vimuktasandehāḥ śleṣmavikāramevādhyavasyanti kuśalāḥ; 
tadyathā- 
snehaśaityaśauklyagauravamādhuryasthairyapaicchilyamārtsnyāni 
śleṣmaṇa ātmarūpāṇi; evaṃvidhatvācca śleṣmaṇaḥ karmaṇaḥ Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 776 
 
svalakṣaṇamidamasya bhavati taṃ taṃ śarīrāvayavamāviśataḥ; tadyathā- 
śvaityaśaityakaṇḍūsthairyagauravasnehasuptikledopadehabandhamādhurya
cirakāritvāni śleṣmaṇaḥ karmāṇi; tairanvitaṃ 
śleṣmavikāramevādhyavasyet||18|| 
Twenty types of kaphaja diseases – Kaphaja Nanatmaja Vikara 
Now we shall explain the twenty verity of diseases due to the vitiation of 
Kapha.",Symptom
1180,Kapha,"Even though, the diseases due to the vitiation of Kapha are 
innumerable; the following are the twenty varieties which are most 
commonly manifested.",Symptom
1181,Kapha,"Shvetaavabhasata (pallor), Shveta Mutra Netra Varchastva (whiteness 
of urine, eye and faces)[17] 
Pathophysiology of kaphaja diseases: 
तं कटुकततक्तकिायतीक्ष्णोष्णरूिैरुपक्रमैरुपक्रमेत स्िेदिमनसशरोविरेचनव्यायामाहदसभः 
श्लेष्महरैमाघत्रां कालं च प्रमाणीकृत्य; िमनं तु सिोपक्रमेभयः श्लेष्मखण प्रधानतमं मवयवते 
सभिजः, तद्धध्याहदत एिामाशयमनुप्रविश्योरोगतं केिलं िैकाररकं 
श्लेष्ममूलमूध्िघमुन्त्िपतत, तत्रािन्जते श्लेष्मण्यवप शरीरावतगघताः श्लेष्मविकाराः 
प्रशान्वतमापयवते, यथा सभवने केदारसेतौ शासलयििवष्कादीवयनसभष्यवयमानावयम्भसा 
प्रशोिमापयवते तद्वहदतत||१९||  
taṃ kaṭukatiktakaṣāyatīkṣṇoṣṇarūkṣairupakramairupakrameta 
svedavamanaśirovirecanavyāyāmādibhiḥ śleṣmaharairmātrāṃ kālaṃ ca 
pramāṇīkṛtya; vamanaṃ tu sarvopakramebhyaḥ śleṣmaṇi pradhānatamaṃ 
manyante bhiṣajaḥ, taddhyādita evāmāśayamanupraviśyorogataṃ kevalaṃ 
vaikārikaṃ śleṣmamūlamūrdhvamutkṣipati, tatrāvajite śleṣmaṇyapi 
śarīrāntargatāḥ śleṣmavikārāḥ praśāntimāpadyante, yathā bhinne 
kedārasetau śāliyavaṣaṣṭikādīnyanabhiṣyandyamānānyambhasā 
praśoṣamāpadyante tadvaditi||19||  
Pathophysiology of kaphaja diseases: 
In all the Shlaishmika (Kaphaja) type of diseases enumerated or implied, 
the inherent natural qualities and actions of Kapha are quite obviously Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 778 
 
manifested fully or partly and as such it is not difficult for a competent 
physician to correctly diagnose the shlaishmika type of diseases.",Symptom
1182,Kapha,"Qualities of Kapha – 
तयथा- स्नेह शैत्य शौक्तल्य गौरि माधुयघ स्थैयघ पैन्च्छल्य मात्स्वयाघतन श्लेष्मण 
आत्मरूपाखण; 
tadyathā- sneha śaitya śauklya gaurava mādhurya sthairya paicchilya 
mārtsnyāni śleṣmaṇa ātmarūpāṇi; 
Kapha brings about following attributes to the body 
Shvaitya – Shveta – whiteness 
Shaitya – Sheeta – coolness 
Kandu – itching 
Sthairya – steadiness, stability 
Gaurava – heaviness, 
Sneha – unctuousness, oiliness, 
Supti – numbness, 
Kleda – moistness, stickiness, 
Upadeha – sliminess, as if being anointed with oil, 
Bandha – binding, obstruction 
Madhurya – sweetness, 
Chirakaritva – slowness, delay in manifestation- these are the actions that 
help a competent physician to diagnose diseases caused by kapha.[18] 
General principal of treatment for Kaphaja diseases: 
They (diseases due to vitiated Kapha) should be treated with 
Katu Tikta Kashaya – herbs having pungent, bitter, astringent taste, Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 779 
 
Teekshna Ushna Rooksha – treatments and medicines having sharp, hot 
and dryness qualities 
Sveda – fomentation, sweating 
Vamana – emesis, vomiting therapy, 
Shiro Virechana – elimination of Doshas from the head by Nasya 
procedure, 
Vyayama – exercise etc, which should all contain materials having Anti- 
Slaismika properties.",Symptom
1183,Kapha,"Of 
all the devices stated above, emetic therapy is the treatment par excellence 
for the cure of diseases due to Kapha because immediately after entering 
the Amashaya – stomach, it strikes at the very root cause of the vitiation of 
Kapha and when it is overcome in the stomach, even the entire vitiated 
Kapha dwelling in other parts of the body is automatically alleviated.",Symptom
1184,Vata,"On the other hand, 
the physician who is well-versed in diagnosing diseases, who is proficient in 
the administration of medicines and who knows about the dosage of the 
therapy that varies from place to place and season to season, is sure to 
accomplish the desired objective.[20-22] 
To sum up:- 
तत्र श्लोकाः-  
सङ्ग्रहः प्रकृततदेशो विकारमुिमीरणम् |  
असवदेहोऽनुबवधश्च रोगाणां सम्प्रकासशतः||२३|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 781 
 
दोिस्थानातन रोगाणां गणा नानात्मजाश्च ये|  
रूपं पृथक् च दोिाणां कमघ चापररणासम यत्||२४||  
पृथक्तत्िेन च दोिाणां तनहदघष्ाः समुपक्रमाः|  
सम्यङ्महतत  रोगाणामध्याये तत्त्िदसशघना||२५|| 
tatra ślokāḥ-  
saṅgrahaḥ prakṛtirdeśo vikāramukhamīraṇam |  
asandeho'nubandhaśca rogāṇāṃ samprakāśitaḥ||23||  
doṣasthānāni rogāṇāṃ gaṇā nānātmajāśca ye|  
rūpaṃ pṛthak ca doṣāṇāṃ karma cāpariṇāmi yat||24||  
pṛthaktvena ca doṣāṇāṃ nirdiṣṭāḥ samupakramāḥ|  
samyaṅmahati  rogāṇāmadhyāye tattvadarśinā||25|| 
In this chapter – Maha Roga Adhyaya, the enlightened sage has fully dealt 
with the following subjects: classification, nature, sites of manifestation, 
specific and general causative factors, interchangeability and specific 
identity of diseases, sites of Doshas, enumeration of specific diseases due 
to Doshas, invariable signs and actions of Doshas separately along with 
their treatment.[23-25] 
इत्यन्ननिेशकृते तवत्रे चरकप्रततसंस्कृते श्लोकस्थाने महारोगाध्यायो नाम 
विंशोऽध्यायः||२०||  
समाप्तो रोगचतुष्कः||५|| 
ityagniveśakṛte tantre carakapratisaṃskṛte ślokasthāne mahārogādhyāyo 
nāma viṃśo'dhyāyaḥ||20||  
samāpto rogacatuṣkaḥ||5|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 782 
 
 
Thus ends the twentieth chapter of Charaka Samihta Sutrasthana, of 
Agnivesa’s work as redacted by Charaka.[20] Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 783 
 
20.1 Vata Dosha Dominance In Different Body Parts – How it 
affects health?",Symptom
1185,Pitta,"Tridosha – Vata Dosha, Pitta and Kapha are present all over the body.",Symptom
1186,Vata,"Tridosha – Vata Dosha, Pitta and Kapha are present all over the body.",Symptom
1187,Kapha,"Tridosha – Vata Dosha, Pitta and Kapha are present all over the body.",Symptom
1188,Pitta,"For 
example, in stomach, Kapha Dosha helps to moisten the food and break it 
into small pieces, Pitta does the digestion process and Vata ensures proper 
downward movement of the food particles.",Symptom
1189,Vata,"For 
example, in stomach, Kapha Dosha helps to moisten the food and break it 
into small pieces, Pitta does the digestion process and Vata ensures proper 
downward movement of the food particles.",Symptom
1190,Kapha,"For 
example, in stomach, Kapha Dosha helps to moisten the food and break it 
into small pieces, Pitta does the digestion process and Vata ensures proper 
downward movement of the food particles.",Symptom
1191,Vata,"Let us learn 
how Vata Dosha is dominant in different areas and how it affects our 
health.",Symptom
1192,Pitta,"General rule – 
IF you divide the whole body into three parts, the upper one third is 
dominated  by Kapha Dosha, middle one third is dominated by Pitta Dosha 
and lower one third is dominated by Vata Dosha.",Symptom
1193,Vata,"General rule – 
IF you divide the whole body into three parts, the upper one third is 
dominated  by Kapha Dosha, middle one third is dominated by Pitta Dosha 
and lower one third is dominated by Vata Dosha.",Symptom
1194,Kapha,"General rule – 
IF you divide the whole body into three parts, the upper one third is 
dominated  by Kapha Dosha, middle one third is dominated by Pitta Dosha 
and lower one third is dominated by Vata Dosha.",Symptom
1195,Vata,"Place of Vata Dosha - 
Large intestine – At the end of digestion process, after all the nutrients of 
the food is absorbed by the body, it is sent to large intestines, wherein the 
Vata helps to further absorb the water and forms the stools.",Symptom
1196,Vata,"It is quite 
interesting to note that, though Vata functions are compared to motor and 
sensory functions of the brain, large intestine is the special place of Vata 
Dosha and not the brain.",Symptom
1197,Vata,"I am not implying that brain does not contain 
Vata Dosha.",Symptom
1198,Vata,"Brain has Vata influence, through which it controls sense 
organs.",Symptom
1199,Vata,"For this reason only, Basti Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 784 
 
treatment (enema therapy) is used extensively in all Vata related disorders 
(including neurological conditions).",Symptom
